NOMBRE,NOMBRE IMAGEN,CATEGORIA,DESCRIPCION,PRECIO COMPRA,PRECIO VENTA,GANANCIA,PROVEEDOR
BLUSA BOTONES,BLUSA BOTONES,DAMA,BLUSA LIGERA Y COMODA.,,$150.00,$150.00,MARIAANA
BLUSA CAFÉ ,BLUSA CAFÉ ,DAMA,BLUSA BONITA Y COMODA,,$150.00,$150.00,MARIAANA
BLUSA CRUZADA ,BLUSA CRUZADA ,DAMA,BLUSA FRESACA Y CON ESTILO  ,,$150.00,$150.00,MARIAANA
BLUSA FLORECITAS  ,BLUSA FLORECITAS ,DAMA,IDEAL PARA CUALQUIER TEMPORADA ,,$150.00,$150.00,MARIAANA
BLUSA FLORES ,BLUSA FLORES ,DAMA ,TELA FRESCA Y TRANSPIRABLE ,,$100.00,$100.00,MARIAANA
BLUSA PLUMAS ,BLUSA PLUMAS ,DAMA ,COMBINABLE CON TODO ,,$20.00,$20.00,MARIAANA
BLUSA TIPO ZARA ,BLUSA TIPO ZARA ,DAMA ,IDEAL PARA CUALQUIER OCASIÓN ,,$150.00,$150.00,MARIAANA
CALCETAS ,CALCETAS ,DEPORTIVA ,TELA SUPER COMODA ,$89.00,$120.00,$31.00,KEIDYSPORT 
CAPRY,CAPRY,DAMA,PANTALON A LA MODA ,,$130.00,$130.00,MARIAANA
CHAMARRA ALO ,CHAMARRA ALO ,DEPORTIVA ,AJUSTE PERFECTO SIN APRETAR ,$179.00,$250.00,$71.00,KEIDYSPORT 
CONJUNTO ADIDAS ,CONJUNTO ADIDAS ,DEPORTIVA ,TE ACOMPAÑA EN CUALQUIER RUTINA,$150.00,$300.00,$150.00,KEIDYSPORT 
CONJUNTO ZAUL 3PZ,CONJUNTO AZUL 3PZ,DAMA ,COMODO Y LIGERO ,,$300.00,$300.00,MARIAANA
CONJUNTO BROOKLYN 3PZ,CONJUNTO BROOKLYN 3PZ,DAMA,COMODO TODO EL DIA ,,$250.00,$250.00,MARIAANA
CONJUNTO C ,CONJUNTO C,DAMA ,IDEAL PARA USO DIARIO ,,$180.00,$180.00,MONTOYA 
CONJUNTO C 3PZ,CONJUNTO C 3PZ,DAMA ,NO TRANSPARENTA ,,$200.00,$200.00,MONTOYA 
CONJUNTO CALIFORNIA ,CONJUNTO CALIFORNIA ,DEPORTIVA ,SUPER COMODO ,,$200.00,$200.00,MARIAANA
CONJUNTO FALDA ,CONJUNTO FALDA ,DAMA ,TELA FIRME PERO LIGERA ,,$150.00,$150.00,MARIAANA
CONJUNTO LISTON ,CONJUNTO LISTON ,DAMA ,IDEAL PARA USO DIARIO ,,$180.00,$180.00,MONTOYA 
CONJUNTO LOS ANGELES ,CONJUNTO LOS ANGELES ,DEPORTIVA ,SUEVES Y LIGEROS ,,$200.00,$200.00,MONTOYA 
CONJUNTO PANTS ,CONJUNTO PANTS ,DAMA ,PARA ESTAR COMODA Y A LA MODA,,$250.00,$250.00,MARIAANA
CONJUNTO ROSITA ,CONJUNTO ROSITA ,DAMA ,IDEAL PARA EVENTOS ,,$300.00,$300.00,MARIAANA
CONJUNTO VERDE ,CONJUNTO VERDE ,DAMA ,ACOGEDOR Y FRESCO ,,$100.00,$100.00,MARIAANA
LICRA NIKE ,LICRA NIKE ,DEPORTIVA ,LIGERA Y COMODA ,,$220.00,$220.00,KEIDYSPORT 
PALAZZO,PALAZZO,DAMA ,LO MEJOR PARA EL CALOR ,,$100.00,$100.00,MARIAANA
PANTALON BLANCO,PANTALON BLANCO,DAMA ,LOOK CASUAL ,,$140.00,$140.00,MARIAANA
PANTALON CHANTO ,PANTALON CHANTO ,DAMA ,COMODOS PERO CON MUCHO ESTILO ,,$150.00,$150.00,MARIAANA
PANTALON DE MEZCLILLA,PANTALON DE MEZCLILLA,DAMA ,SE ADAPTA A TUS CURVAS ,,$200.00,$200.00,MONTOYA 
PLAYERA ALO ,PLAYERA ALO ,DEPORTIVA ,DISEÑO COMODO CON ESTILO ,,$180.00,$180.00,KEIDYSPORT 
SET  DE TENIS ALO ,SET DE TENIS ALO ,DEPORTIVA ,SET COMPLETO PARA ESTAR COMODA Y CON ESTILO,,$350.00,$350.00,KEIDYSPORT 
SHORT ALO ,SHORT ALO ,DEPORTIVA ,IDEAL PARA GYM O USO DIARIO ,,$200.00,$200.00,KEIDYSPORT 
SHORT GYMSHARK,SHORT GYMSHARK,DEPORTIVA ,PRENDA COMODA Y LIGERA ,,$190.00,$190.00,KEIDYSPORT 
SUDADERA ,SUDADERA,CABALLERO,INTERIOR AFELPADO QUE ABRIGA ,,$250.00,$250.00,MONTOYA 
VESTIDO ,VESTIDO ,DAMA ,FORRO INTERIOR LIGERO ,,$100.00,$100.00,MARIAANA
VESTIDO DE NOCHE BRILLO,VESTIDO DE NOCHE BRILLO,DAMA ,AJUSTES QUE REALZAN LA FIGURA ,,$350.00,$350.00,MARIAANA
PLAYERA POLO,PLAYERA POLO,CABALLERO,CORTE MODERNO Y COMODO ,,$240.00,$240.00,J&J
PLAYERA TOMMY,PLAYERA TOMMY,CABELLERO ,IDEAL PARA EL DIA A DIA ,,$190.00,$190.00,J&J
PLAYERA LACOSTE ,PLAYERA LACOSTE ,CABALLERO,"FRESCA, LIGERA Y COMBINABLE",,$190.00,$190.00,J&J
CAMISA TOMMY,CAMISA TOMMY,CABALLERO ,AJUSTE PERFECTO SIN APRETAR ,,$150.00,$150.00,J&J
CAMISA COLUMBIA,CAMISA COLUMBIA,CABALLERO,ESTILO CASUAL CON TOQUE ELEGANTE,,$300.00,$300.00,J&J
PLAYERA ADIDAS,PLAYERA ADIDAS,CABALLERO,BASICA CON ESTILO,,$120.00,$120.00,J&J
PANTALON AMERICAN EAGLE,PANTALON AMERICAN EAGLE,CABALLERO,IDEAL PARA COMBINAR CON TENIS Y BOTAS,,$290.00,$290.00,J&J
PANTALON CARGO ,PANTALON CARGO,CABALLERO,DISEÑO PRACTICO Y MODERNO,,$320.00,$320.00,J&J
